geneID	SRR7652568	SRR7652563	healthy.AVG
Solyc08g048250.3.1	4.46	4.48	4.53
Solyc09g009190.3.1	8.59	8.34	8.24
Solyc12g006870.2.1	5.83	5.95	5.86
Solyc07g008350.3.1	4.52	4.47	4.61
Solyc08g068640.3.1	1.95	0.81	1.81
Solyc09g007250.3.1	7.09	7.33	7.74
Solyc12g087870.2.1	2.35	2.54	2.78
Solyc02g079280.3.1	2.11	2.2	-1.36
Solyc08g008630.3.1	7.96	7.78	8.06
Solyc06g005310.3.1	2.48	2.96	4.35
Solyc08g075540.3.1	6.14	5.82	5.36
Solyc09g091510.3.1	5.24	5.6	4.11
Solyc04g016177.1.1	1.52	1.19	2.06
Solyc03g120050.3.1	2.81	2.81	2.54
Solyc07g065320.3.1	6.71	6.53	7.04
Solyc05g013560.3.1	3.09	2.86	3.35
Solyc05g025810.3.1	5.98	5.69	5.86
Solyc12g011190.2.1	2.14	2.33	2.43
Solyc11g071423.1.1	2.52	2.59	2.2
Solyc08g080585.1.1	-3.51	-3.51	3.12
Solyc02g086660.3.1	4.84	4.8	4.72
Solyc04g070987.1.1	2.33	2.43	1.88
Solyc10g074520.2.1	0.5	1.14	0.54
Solyc02g065360.3.1	4.47	4.17	4.3
Solyc02g076790.3.1	4.19	4.26	3.82
Solyc03g005470.3.1	4.95	5.28	5.67
Solyc05g047540.3.1	6.24	5.72	6.54
Solyc05g005770.3.1	3.87	3.81	2.86
Solyc03g044420.2.1	0.88	-0.04	0.33
Solyc06g072135.1.1	2.6	2.2	2.08
Solyc04g054760.3.1	3.24	3.31	1.57
Solyc03g063290.3.1	3.92	4.05	3.83
Solyc09g020190.3.1	6.45	6.23	5.45
Solyc11g008340.2.1	5.95	5.95	5.98
Solyc11g072320.2.1	6.76	6.77	6.79
Solyc03g112770.3.1	4.44	4.58	4.47
Solyc04g054430.2.1	3.03	3.09	3.45
Solyc10g052660.2.1	5.05	5.29	5.86
Solyc04g083160.2.1	-0.06	0.64	1.33
Solyc02g088510.3.1	2.37	2.22	1.8
Solyc04g074165.1.1	1.24	1.6	2.16
Solyc07g063080.3.1	0.54	0.34	1.23
Solyc08g006000.3.1	5.27	5.31	5.25
Solyc03g007825.1.1	1.51	1.61	1.13
Solyc01g091800.3.1	5.48	5.34	5.54
Solyc06g054690.3.1	4.77	4.68	4.7
Solyc09g084460.3.1	2.72	4.28	0.87
Solyc02g067925.1.1	3.9	4.11	4.26
Solyc03g122240.3.1	4.11	3.93	3.71
Solyc01g109550.2.1	2.54	1.76	3.89
Solyc01g109780.3.1	5.2	5.07	5.11
Solyc09g011040.1.1	1.32	1.99	1.62
Solyc01g080080.3.1	4.47	4.58	4.44
Solyc10g081420.2.1	4.53	4.42	5.43
Solyc06g005780.1.1	2.5	0.94	0.13
Solyc01g094080.3.1	5.26	4.99	5.39
Solyc06g069570.3.1	4.96	5.23	5.34
Solyc01g104590.3.1	7.66	7.86	8.42
Solyc12g007050.1.1	2.49	1.73	2.89
Solyc12g038970.2.1	4.5	4.32	4.14
Solyc09g072870.3.1	6.06	6.37	6.75
Solyc03g063690.1.1	0.41	0.83	0.96
Solyc11g067200.2.1	4.64	4.6	4.07
Solyc09g055900.3.1	2.83	3.05	2.31
Solyc01g105230.3.1	5.44	5.49	5.34
Solyc03g120475.1.1	7.26	7.39	8.9
Solyc08g007950.3.1	6.23	6.03	6.55
Solyc04g016060.1.1	0.07	0.49	0
Solyc09g007320.3.1	5.15	4.93	5.39
Solyc05g012550.3.1	1.16	1.27	0.78
Solyc02g090135.1.1	4.14	3.85	3.61
Solyc06g051060.3.1	1.17	0.93	1.12
Solyc03g007500.3.1	3.28	3.52	3.31
Solyc06g076130.3.1	4.19	4.14	3.63
Solyc06g076910.2.1	2.62	1.71	2.15
Solyc12g013870.2.1	4.66	4.71	5.12
Solyc11g011130.2.1	6.98	6.9	6.59
Solyc03g118660.3.1	3.84	4.03	3.48
Solyc05g009890.1.1	2.94	3.06	4.15
Solyc09g008940.3.1	3.59	3.53	3.18
